n,x_n,y_n
0,0,0
1,1,0
2,-0.4,0.3
3,1.076,-0.12
4,-0.7408864,0.3228
5,0.55432228,-0.22226592
6,0.34755162,0.16629668
7,0.99718771,0.10426548
8,-0.28787117,0.29915631
9,1.1831386,-0.086361352
10,-1.046105,0.35494157
11,-0.17712836,-0.3138315
12,0.64224426,-0.053138508
13,0.36939272,0.19267328
14,1.0016419,0.11081782
15,-0.29378328,0.30049257
16,1.1796605,-0.088134983
17,-1.0363735,0.35389815
18,-0.1497998,-0.31091204
19,0.65767199,-0.04493994
20,0.34951464,0.1973016
21,1.0262769,0.10485439
22,-0.36968765,0.30788308
23,1.1165465,-0.11090629
24,-0.85625293,0.33496396
25,0.30852724,-0.25687588
26,0.60985944,0.092558173
27,0.57185823,0.18295783
28,0.72512726,0.17155747
29,0.4354241,0.21753818
30,0.95210637,0.13062723
31,-0.13848192,0.28563191
32,1.2587838,-0.041544576
33,-1.2598958,0.37763513
34,-0.84463724,-0.37796874
35,-0.37674564,-0.25339117
36,0.54789664,-0.11302369
37,0.46670929,0.16436899
38,0.85942441,0.14001279
39,0.10595834,0.25782732
40,1.2421093,0.031787501
41,-1.1281822,0.37263279
42,-0.40928023,-0.33845465
43,0.42703091,-0.12278407
44,0.62191837,0.12810927
45,0.58661384,0.18657551
46,0.7048134,0.17598415
47,0.48051745,0.21144402
48,0.88818819,0.14415524
49,0.039725674,0.26645646
50,1.2642471,0.011917702
51,-1.2257312,0.37927412
52,-0.72410976,-0.36771937
53,-0.10178829,-0.21723293
54,0.76826187,-0.030536487
55,0.14314668,0.23047856
56,1.2017912,0.042944005
57,-0.97907892,0.36053736
58,0.018503615,-0.29372368
59,0.70579699,0.0055510846
60,0.30814194,0.2117391
61,1.0788071,0.092442583
62,-0.53691195,0.32364212
63,0.92005791,-0.16107358
64,-0.34618275,0.27601737
65,1.1082379,-0.10385483
66,-0.82332249,0.33247136
67,0.38346748,-0.24699675
68,0.54713703,0.11504024
69,0.69593775,0.16414111
70,0.48608002,0.20878132
71,0.87799802,0.14582401
72,0.066591274,0.26339941
73,1.2571912,0.019977382
74,-1.1927644,0.37715737
75,-0.61460427,-0.35782932
76,0.11333691,-0.18438128
77,0.79763536,0.034001074
78,0.14329004,0.23929061
79,1.2105458,0.042987011
80,-1.0086024,0.36316373
81,-0.061026703,-0.30258073
82,0.69220531,-0.018308011
83,0.31088453,0.20766159
84,1.0723527,0.093265358
85,-0.51665116,0.32170582
86,0.94800603,-0.15499535
87,-0.41319695,0.28440181
88,1.0453774,-0.12395909
89,-0.65389855,0.31361322
90,0.71499658,-0.19616956
91,0.088122275,0.21449898
92,1.2036272,0.026436682
93,-1.0017692,0.36108817
94,-0.043870017,-0.30053076
95,0.69677483,-0.013161005
96,0.30714577,0.20903245
97,1.0769585,0.092143732
98,-0.53163175,0.32308755
99,0.9274023,-0.15948953
100,-0.36359457,0.27822069
101,1.0931393,-0.10907837
102,-0.78201324,0.32794178
103,0.47177919,-0.23460397
104,0.45379019,0.14153376
105,0.85323801,0.13613706
106,0.11691592,0.2559714
107,1.2368343,0.035074775
108,-1.1065881,0.3710503
109,-0.34330174,-0.33197642
110,0.50302506,-0.10299052
111,0.54276158,0.15090752
112,0.73848133,0.16282847
113,0.39933193,0.2215444
114,0.99829201,0.11979958
115,-0.27542212,0.2994876
116,1.1932873,-0.082626636
117,-1.0761351,0.3579862
118,-0.26330729,-0.32284053
119,0.58009644,-0.078992188
120,0.44989118,0.17402893
121,0.89066603,0.13496735
122,0.024366974,0.26719981
123,1.2663686,0.0073100923
124,-1.237855,0.37991057
125,-0.76528834,-0.37135649
126,-0.19128923,-0.2295865
127,0.7191853,-0.05738677
128,0.21849474,0.21575559
129,1.1489197,0.065548422
130,-0.78247451,0.3446759
131,0.48750299,-0.23474235
132,0.43253481,0.1462509
133,0.88432999,0.12976044
134,0.034905109,0.265299
135,1.2635933,0.010471533
136,-1.2248636,0.37907798
137,-0.72132934,-0.36745909
138,-0.095901527,-0.2163988
139,0.77072525,-0.028770458
140,0.13960516,0.23121758
141,1.2039321,0.041881548
142,-0.98735207,0.36117964
143,-0.0036301134,-0.29620562
144,0.70377593,-0.001089034
145,0.30549018,0.21113278
146,1.0804788,0.091647055
147,-0.54276124,0.32414365
148,0.91171798,-0.16282837
149,-0.32654991,0.27351539
150,1.1242266,-0.097964974
151,-0.86740463,0.33726798
152,0.28392088,-0.26022139
153,0.62692312,0.085176264
154,0.53493063,0.18807694
155,0.78746585,0.16047919
156,0.29233574,0.23623975
157,1.1165955,0.087700721
158,-0.65779899,0.33497865
159,0.72919934,-0.1973397
160,0.058235963,0.2187598
161,1.2140118,0.017470789
162,-1.0458837,0.36420354
163,-0.16721835,-0.31376512
164,0.64708811,-0.050165504
165,0.36362226,0.19412643
166,1.0090168,0.10908668
167,-0.31627428,0.30270505
168,1.1626639,-0.094882283
169,-0.98738445,0.34879916
170,-0.016100118,-0.29621534
171,0.70342177,-0.0048300353
172,0.30244691,0.21102653
173,1.0829627,0.090734074
174,-0.55119754,0.32488882
175,0.8995426,-0.16535926
176,-0.29820691,0.26986278
177,1.1453645,-0.089462072
178,-0.92606577,0.34360934
179,0.14297241,-0.27781973
180,0.69356272,0.042891723
181,0.36945079,0.20806881
182,1.0169774,0.11083524
183,-0.33710495,0.30509321
184,1.1459976,-0.10113148
185,-0.93976609,0.34379927
186,0.10737485,-0.28192983
187,0.70192907,0.032212455
188,0.34242627,0.21057872
189,1.0464207,0.10272788
190,-0.43026684,0.3139262
191,1.0547448,-0.12908005
192,-0.68656136,0.31642345
193,0.65651035,-0.20596841
194,0.19062342,0.1969531
195,1.1460809,0.057187026
196,-0.78171497,0.34382427
197,0.48831465,-0.23451449
198,0.43165383,0.14649439
199,0.88563935,0.12949615
200,0.031396274,0.2656918
201,1.2643118,0.0094188822
202,-1.2284591,0.37929354
203,-0.73346304,-0.36853774
204,-0.12169299,-0.22003891
205,0.75922823,-0.036507898
206,0.1564936,0.22776847
207,1.1934821,0.04694808
208,-0.94721133,0.35804464
209,0.10195161,-0.2841634
210,0.70128482,0.030585484
211,0.34206493,0.21038545
212,1.0465737,0.10261948
213,-0.43082352,0.3139721
214,1.0541196,-0.12924706
215,-0.68488252,0.31623589
216,0.65954619,-0.20546476
217,0.18553359,0.19786386
218,1.1496721,0.055660078
219,-0.7947841,0.34490162
220,0.46054715,-0.23843523
221,0.46461962,0.13816414
222,0.83594419,0.13938589
223,0.16106212,0.25078326
224,1.2144658,0.048318636
225,-1.0165796,0.36433975
226,-0.082467903,-0.30497387
227,0.68550479,-0.024740371
228,0.31737609,0.20565144
229,1.0646328,0.095212826
230,-0.49160744,0.31938985
231,0.98104082,-0.14748223
232,-0.49489975,0.29431225
233,0.95141618,-0.14846993
234,-0.41573976,0.28542485
235,1.0434495,-0.12472193
236,-0.64902349,0.31303485
237,0.72331077,-0.19470705
238,0.072843105,0.21699323
239,1.2095647,0.021852932
240,-1.0264124,0.3628694
241,-0.11206203,-0.30792373
242,0.67449522,-0.033618609
243,0.32946007,0.20234857
244,1.050387,0.098838022
245,-0.44580011,0.31511611
246,1.0368833,-0.13374003
247,-0.63891775,0.31106498
248,0.73956273,-0.19167533
249,0.042590423,0.22186882
250,1.2193293,0.012777127
251,-1.0686924,0.36579879
252,-0.23314599,-0.32060772
253,0.60329241,-0.069943798
254,0.42050978,0.18098772
255,0.93342786,0.12615293
256,-0.093649663,0.28002836
257,1.26775,-0.028094899
258,-1.278161,0.380325
259,-0.90684865,-0.38344829
260,-0.53477254,-0.27205459
261,0.32757107,-0.16043176
262,0.68934431,0.09827132
